49
3 1 54.8
5 1 13.31
5 3 70.58
7 1 20.2
7 3 12.87
7 5 409.08
9 1 1185.99
9 3 470.36
9 5 2
9 6 9.14
11 1 27.83
11 3 75.56
11 5 196.1
11 6 4.24
11 7 91.4
13 1 66.36
13 3 26.92
13 5 1.41
13 6 1.41
13 7 27.02
13 9 16.76
14 1 82.79
14 3 2.83
14 5 422.55
14 6 19.27
14 7 285.58
14 9 254.33
14 11 13.64
15 1 121.63
15 3 56.77
15 5 20.64
15 6 149.42
15 7 3.86
15 9 192.82
15 11 50.59
15 12 42.56
17 1 85.38
17 3 22.02
17 5 555
17 6 162.44
17 7 2
17 9 197.67
17 11 27.31
17 12 265.69
17 13 10.97
19 1 209.22
19 3 214.15
19 5 134.5
19 6 47.34
19 7 280.56
19 9 143.03
19 11 146
19 12 60.9
19 13 12.63
19 14 4.88
21 1 40.79
21 3 4
21 5 3
21 6 1.41
21 7 53.94
21 9 36.55
21 11 271.04
21 12 15.22
21 13 1
21 14 153
21 15 394.55
23 7 41.93
23 3 8.54
23 1 16.2
23 13 269.4
23 6 484.56
23 5 32.67
23 11 125.93
23 9 20.4
23 12 38.35
23 14 57.3
23 15 21.05
25 5 7.14
25 7 2.45
25 1 35.05
25 3 588.29
25 14 87.39
25 13 1
25 6 51.09
25 11 84.73
25 12 215.71
25 9 186
25 15 231.74
27 6 28.11
27 11 365.41
27 3 420.04
27 1 377.62
27 7 104.54
27 5 54.78
27 13 616.89
27 14 217.61
27 9 22.15
27 12 12.48
27 15 33.74
29 9 155.16
29 3 527.83
29 6 5.1
29 14 97.93
29 11 130.21
29 1 11.38
29 5 1.41
29 12 22.02
29 7 365.09
29 15 202.25
29 13 374.18
31 1 2.83
31 6 199.32
31 13 151.78
31 11 132.92
31 12 27.49
31 5 58.85
31 3 255.5
31 15 3.73
31 19 2.45
31 14 6.56
31 9 625.58
33 20 74.52
33 11 112.65
33 6 3.16
33 5 1
33 3 145.2
33 13 121.31
33 14 165.89
33 1 4.9
33 7 38.12
33 9 190.63
33 12 652.7
35 11 50.06
35 7 25.65
35 5 84.62
35 13 455.53
35 3 166.42
35 19 7.1
35 9 19.82
35 12 27.1
35 6 93.47
35 14 47.58
35 15 81.44
36 12 1
36 5 187.64
36 9 244.19
36 6 38.2
36 3 1.73
36 14 21.35
36 15 24
36 11 226.62
36 7 67.12
36 13 13.98
36 1 3.41
38 13 158.52
38 6 49.05
38 9 3.46
38 14 189.63
38 5 245.35
38 11 103.33
38 1 70.87
38 12 793.64
38 7 546.11
38 3 24.73
38 15 31.83
40 24 81.06
40 7 9.89
40 5 238.92
40 6 10.35
40 1 163.19
40 11 4.41
40 3 13.67
40 12 1.41
40 13 677.47
40 20 222.76
40 17 46.04
42 5 1521.36
42 14 103.21
42 11 7.2
42 15 40.33
42 7 106.2
42 6 112.91
42 9 1277.3
42 12 34.58
42 13 273.52
42 25 8.02
42 27 16.43
44 7 60
44 22 1227.42
44 3 121.41
44 1 11.69
44 9 2.83
44 13 119.98
44 6 2
44 15 21.25
44 14 104.3
44 12 572.85
44 11 87.92
46 11 154.5
46 14 84.29
46 22 204.4
46 20 695.91
46 15 4.47
46 17 6.11
46 5 33.15
46 7 245.95
46 13 3.24
46 12 252.76
46 1 4.88
48 5 10.81
48 9 24.63
48 17 6.61
48 24 309.66
48 14 817.11
48 15 5.46
48 25 42.61
48 7 28.93
48 1 299.5
48 6 46.07
48 13 4.56
1 17 133.23
1 5 156.01
1 15 560.55
1 20 451.76
1 1 124.85
1 6 21.23
1 12 6.63
1 9 217.23
1 7 51.22
1 11 81.77
1 29 139.6
2 11 35.39
2 12 4.47
2 14 224.5
2 19 143.38
2 5 23.32
2 15 839.5
2 1 52.67
2 25 16.84
2 13 2
2 7 14.84
2 3 50.3
4 7 29.25
4 2 89.27
4 24 2.41
4 14 70.28
4 12 56.28
4 9 6.69
4 1 28.77
4 17 2.45
4 13 475.04
4 11 1.41
4 3 39.83
6 3 7.83
6 5 27.85
6 30 42.81
6 13 8.49
6 9 7.83
6 11 28.01
6 14 1
6 12 189.56
6 7 541.83
6 6 11.3
6 22 284.4
8 6 1279
8 17 7.07
8 14 33.12
8 28 44.24
8 13 178.22
8 7 117.86
8 20 13.68
8 1 62.78
8 15 155.73
8 5 388.97
8 27 127.95
10 30 109.97
10 17 90.72
10 9 157.55
10 1 325.49
10 12 16.96
10 24 22.78
10 11 44.88
10 27 4.74
10 3 12.52
10 28 80.69
10 5 5.99
12 15 9.85
12 8 35.47
12 17 7.73
12 4 10
12 11 71.7
12 14 83.32
12 29 2.24
12 6 118.67
12 22 211.49
12 9 431.18
12 12 16.89
16 11 281.61
16 3 51.03
16 5 12.96
16 30 6.61
16 9 23.25
16 24 23.95
16 15 9.35
16 17 4
16 6 377.19
16 14 37
16 1 46.46
18 14 1364.95
18 11 24.82
18 13 1
18 12 31.38
18 3 139.29
18 17 366.25
18 5 1
18 6 18.24
18 1 33.61
18 19 43.63
18 4 390.17
20 14 199.65
20 15 1
20 13 3.74
20 11 149.79
20 3 6.48
20 7 1
20 9 94.47
20 17 897.47
20 5 143.68
20 12 9.3
20 6 110.83
22 11 2
22 9 638.08
22 12 1.41
22 27 842.86
22 7 19.46
22 3 21.22
22 5 18.71
22 24 1.41
22 14 9.11
22 13 55.19
22 6 41.56
24 13 5.98
24 14 28.83
24 6 126.61
24 3 128.07
24 5 98.72
24 9 9.27
24 12 3.46
24 17 219.77
24 11 27.5
24 7 10.09
24 26 106.56
26 16 34.43
26 6 261.28
26 5 817.67
26 8 12.49
26 1 551.92
26 7 156.06
26 13 17.99
26 25 14.57
26 17 1389.88
26 20 112.27
26 14 29.27
28 6 4.69
28 14 82.95
28 1 19.43
28 15 392.29
28 3 31.24
28 12 16.9
28 5 1539.21
28 7 629.47
28 11 991.78
28 9 49.39
28 22 536.57
30 14 117.6
30 7 1.73
30 5 165.38
30 3 441.95
30 9 2.45
30 6 113.63
30 1 65.55
30 20 88.98
30 22 8.32
30 11 7.39
30 12 4.65
32 15 117.66
32 22 10.43
32 12 770.79
32 6 60.78
32 5 3.15
32 3 454.86
32 1 37.98
32 14 663.03
32 11 440.56
32 24 149.82
32 20 10.57
34 12 32.95
34 14 276.84
34 3 2.24
34 11 1480.68
34 28 249.39
34 24 39.2
34 15 304.21
34 20 2.65
34 25 406.94
34 13 13.97
34 6 65.2
37 26 1
37 6 12.93
37 5 42.16
37 20 1107.52
37 7 75.2
37 12 445.63
37 3 19.83
37 10 6.18
37 14 5.46
37 16 244.14
37 24 63.18
39 15 43.43
39 6 14.56
39 14 203.43
39 11 268.67
39 18 422.15
39 21 25.39
39 12 240.14
39 9 3
39 1 27.85
39 17 40.04
39 5 502.77
41 20 161.88
41 24 16.21
41 22 124.33
41 1 182.76
41 3 225.44
41 27 1258.02
41 5 2
41 23 1.41
41 6 6.58
41 13 150.6
41 12 395.58
43 3 180.43
43 26 20.42
43 6 49.45
43 5 1475.45
43 15 1373.19
43 20 28.27
43 11 27.17
43 1 10.46
43 9 28.41
43 13 23.37
43 17 6.69
45 13 95.64
45 1 56.46
45 9 20.93
45 7 1.73
45 15 54.17
45 20 148.2
45 6 182.07
45 28 2
45 3 24.95
45 12 1.41
45 30 139.62
47 9 895.53
47 11 155.91
47 14 508.86
47 13 10.06
47 5 29.79
47 17 9.36
47 1 20.94
47 22 22.34
47 16 163.15
47 28 625.54
47 15 340.12
