283
2 1 2
2 13 2
2 14 2
2 56 4
2 57 10
2 58 4
2 60 2
2 168 2
2 6 2
2 45 2
2 159 2
2 54 2
2 68 6
2 177 10
2 179 2
2 183 2
2 223 4
1 2 2
1 5 2
1 44 2
1 59 4
1 158 2
1 13 2
1 14 4
1 55 4
1 56 8
1 57 14
1 58 2
1 60 2
1 69 10
1 114 2
1 168 4
1 169 2
1 176 6
1 178 2
1 224 4
5 1 4
5 164 30
5 173 2
5 21 24
5 52 10
5 134 2
5 180 4
5 219 4
44 1 4
44 5 6
44 59 8
44 11 14
44 13 10
44 56 12
44 58 4
44 168 4
44 176 2
44 178 2
44 196 2
44 45 2
44 54 4
44 164 8
44 21 2
44 50 2
59 1 4
59 55 30
59 56 2
59 58 4
59 114 2
59 54 32
59 68 4
59 7 2
59 112 2
59 239 4
59 88 4
59 89 2
59 90 4
59 33 2
59 92 4
59 38 2
59 91 4
59 127 4
59 204 2
59 206 2
59 238 2
59 242 2
59 247 2
59 95 2
59 96 2
59 149 2
59 205 6
59 100 2
161 1 2
161 11 12
161 196 2
161 159 4
161 50 18
161 115 4
161 48 2
3 1 2
3 55 6
3 60 2
3 196 2
3 4 2
3 54 4
3 183 2
3 17 2
3 71 2
3 72 2
3 82 2
3 84 2
3 113 4
3 119 2
3 123 4
3 130 4
3 164 2
3 171 2
3 173 10
3 174 12
3 175 4
3 182 2
3 186 8
3 198 2
3 210 2
3 214 2
3 218 2
3 229 2
11 1 2
11 44 2
11 13 20
11 74 2
11 196 2
11 12 2
11 171 2
11 21 2
11 41 6
11 79 2
11 46 4
11 15 4
11 42 2
11 50 6
11 115 2
13 56 10
13 176 4
13 54 4
13 177 28
13 113 2
13 171 2
13 174 8
13 182 2
13 41 2
13 9 2
13 19 2
13 112 2
13 161 2
13 167 8
13 200 4
13 201 4
13 222 8
14 55 2
14 57 6
14 60 2
14 176 34
14 177 2
14 183 2
14 223 2
14 164 2
14 173 6
14 10 2
14 112 4
14 161 2
14 200 2
14 97 2
14 181 2
14 166 8
14 221 6
14 249 6
55 59 4
55 56 2
55 58 2
55 60 4
55 176 4
55 4 2
55 54 12
55 177 2
55 173 2
55 61 4
55 150 14
55 151 16
55 29 6
55 239 14
55 88 16
55 89 8
55 30 4
55 240 10
55 31 4
55 241 8
55 90 10
55 32 2
55 33 4
55 99 2
55 243 8
55 34 6
55 92 14
55 244 32
55 35 16
55 36 18
55 37 12
55 38 4
55 39 12
55 248 2
55 277 4
55 91 16
55 93 26
55 94 6
55 102 10
55 127 2
55 204 2
55 206 2
55 238 4
55 242 10
55 245 12
55 246 10
55 247 30
55 257 8
55 95 18
55 96 4
55 101 6
55 128 6
55 205 12
55 234 2
55 235 2
55 138 2
55 139 2
56 59 4
56 55 14
56 57 8
56 58 2
56 60 2
56 54 14
56 72 2
56 61 4
56 208 2
56 167 2
56 166 2
56 249 2
56 155 2
56 170 2
56 110 2
56 250 8
56 28 2
56 31 2
56 32 2
56 33 2
56 99 2
56 243 2
