49
2 4 23.32
2 6 63.42
2 8 1
2 10 115.97
2 12 97.93
2 14 278.07
2 15 21.69
2 16 51.09
2 18 199.32
2 20 2354.08
2 26 748.96
2 30 6.56
2 34 27.72
2 36 93
2 37 11.53
2 39 178.08
2 41 62.2
2 43 541.83
2 45 280.56
2 47 2
2 49 73.54
2 1 302.01
2 5 21.36
2 9 9.3
2 11 18.73
2 13 46.6
2 17 65.15
2 19 120.57
2 25 84.73
2 29 10.81
2 33 9.61
2 35 12.49
2 38 127.35
2 40 31.19
2 42 66.69
2 44 4.83
2 48 34.46
4 2 35.03
4 6 96.48
4 8 149.28
4 10 964.55
4 12 65.54
4 14 237.03
4 15 4.69
4 16 15.22
4 18 27.21
4 20 112.64
4 22 46.82
4 24 10.06
4 26 30.05
4 28 149.51
4 30 3.15
4 32 6.11
4 36 8.61
4 37 1.41
4 39 50.06
4 41 229.13
4 43 145.17
4 45 243.88
4 47 49.08
4 49 255.5
4 1 8.12
4 3 526.84
4 5 76.9
4 7 95.86
4 9 929.5
4 11 3.46
4 13 132.92
4 17 42.43
4 19 19.46
4 21 2.24
4 25 8.32
4 27 66.36
4 31 11.05
4 35 4.36
4 38 10.71
4 40 110.83
4 42 22.66
4 44 223.35
4 46 60.97
4 48 236.85
6 2 15.16
6 4 98.72
6 8 99.05
6 10 334.18
6 12 56.41
6 14 842.86
6 15 30.67
6 16 151.78
6 18 192.82
6 20 54.15
6 22 217.23
6 24 19.43
6 26 50.69
6 28 246.8
6 30 10.18
6 32 9.24
6 34 50.99
6 36 38.69
6 37 38.2
6 39 170.1
6 41 135.18
6 43 240.14
6 45 269.99
6 47 16.84
6 49 551.92
6 1 4.58
6 3 70.87
6 5 1027.98
6 7 38.66
6 9 141.36
6 11 38.35
6 13 1598.94
6 17 250.83
6 19 27.49
6 21 96.93
6 23 12.16
6 25 21.35
6 27 241.29
6 29 28.2
6 31 6.24
6 33 35.47
6 35 7.22
6 38 116.09
6 40 75.56
6 42 105.27
6 44 281.75
6 46 25.65
6 48 586.82
8 2 10.41
8 4 73.94
8 6 64.92
8 10 253.52
8 12 39.41
8 14 281.94
8 15 10.66
8 16 21.24
8 18 97.9
8 20 54.8
8 22 161.88
8 24 107.32
8 26 52.67
8 28 372.13
8 30 3
8 32 1
8 34 12.43
8 36 4.45
8 37 5.61
8 39 40.85
8 41 119.98
8 43 112.8
8 45 158.45
8 47 6.69
8 49 151.22
8 1 1.41
8 3 87.39
8 5 48.86
8 7 84.43
8 9 285.02
8 13 67.14
8 17 18.48
8 21 8.46
8 23 8.49
8 25 5.83
8 27 25.77
8 29 3.73
8 35 2
8 38 1
8 40 71.41
8 42 13.46
8 44 28.01
8 46 3.46
8 48 176.67
10 2 50.83
10 4 268.67
10 6 350.1
10 8 314.76
10 12 150.6
10 14 1250.99
10 15 59.62
10 16 172.81
10 18 459.04
10 20 211.89
10 22 365.09
10 24 395.58
10 26 125.93
10 28 991.53
10 30 34.84
10 32 21.22
10 34 105.91
10 36 32.04
10 37 11.07
10 39 185.63
10 41 343.06
10 43 441.95
10 45 884.07
10 47 138.31
10 49 645.62
10 1 5.29
10 3 236.89
10 5 612.35
10 7 162.21
10 9 1874.01
10 11 9.14
10 13 808.62
10 17 131.21
10 19 6.66
10 21 42.81
10 23 16.37
10 25 21
10 27 6.58
10 29 27.43
10 31 6.61
10 33 8.06
10 35 2
10 38 19.17
10 40 121.16
10 42 74.52
10 44 349.53
10 46 54.98
10 48 763.7
12 2 41.93
12 4 22.02
12 6 132.28
12 8 5.41
12 10 28.26
12 14 203.08
12 15 24.63
12 16 166.24
12 18 66.66
12 20 230.72
12 22 44.65
12 26 171.96
12 28 18.67
12 30 5.24
12 34 95.64
12 36 22.32
12 39 1225.27
12 41 120.31
12 43 180.8
12 45 154.2
12 47 8.63
12 49 117.54
12 1 42.61
12 3 3.46
12 5 39.74
12 9 12.73
12 11 334.28
12 13 113.73
12 17 62.49
12 19 45.26
12 21 1
12 25 161.13
12 29 4.65
12 31 7.07
12 33 40.33
12 35 4.73
12 38 475.04
12 40 125.62
12 42 97.67
12 44 112.67
12 46 18.71
12 48 57.24
14 2 172.55
14 4 170.98
14 6 732.27
14 8 229.42
14 10 623.56
14 12 399.53
14 15 214.15
14 16 555.41
14 18 630.83
14 20 451.17
14 22 567.75
14 24 139.6
14 26 447.94
14 28 663.03
14 30 89.81
14 32 38.04
14 34 260.4
14 36 111.73
14 37 17.04
14 39 793.64
14 41 650.12
14 43 1007.93
14 45 1040.01
14 47 53.76
14 49 1493.29
14 1 20.91
14 3 93.94
14 5 1227.42
14 7 78.7
14 9 281.12
14 11 121.41
14 13 2505.27
14 17 341.62
14 19 47.58
14 21 34.58
14 23 5.66
14 25 84.39
14 27 6.63
14 29 56.34
14 31 5.99
14 33 47.72
14 35 8.54
14 38 217.6
14 40 330.79
14 42 284.4
14 44 624.46
14 46 30.33
14 48 1389.88
15 2 12.96
15 4 1
15 6 25.45
15 8 2.45
15 10 27.83
15 14 55.15
15 16 645.39
15 18 221.87
15 20 4.24
15 26 102.68
15 30 20.07
15 34 10.22
15 36 2.65
15 37 22.34
15 39 104.54
15 41 14.19
15 43 3.86
15 45 1.41
15 49 11
15 1 3.41
15 3 3.83
15 5 39.05
15 9 28.06
15 11 5.15
15 13 124.32
15 17 307.83
15 19 14.57
15 25 65.06
15 29 21.42
15 33 1
15 35 1.41
15 38 56.46
15 40 16.8
15 42 16.89
15 44 22.87
15 48 23.91
16 2 63.41
16 4 21.94
16 6 101.75
16 8 14.78
16 10 692.01
16 12 62.78
16 14 1539.21
16 15 766.08
16 18 3725.4
16 20 26.51
16 22 25.08
16 26 220.38
16 28 4.58
16 30 63.43
16 32 1.41
16 34 39.39
16 36 6.18
16 37 15.31
16 39 759
16 41 118.67
16 43 120.7
16 45 127.95
16 47 1
16 49 165.71
16 1 16.38
16 3 34.56
16 5 117.47
16 7 14.36
16 9 767.43
16 11 72.71
16 13 2324.98
16 17 4476.65
16 19 37.43
16 21 21.25
16 25 163.15
16 27 2
16 29 63.38
16 33 21.98
16 35 2
16 38 741.07
16 40 86.25
16 42 121.31
16 44 227.41
16 46 3.73
16 48 196.19
18 2 254.88
18 4 19.83
18 6 146
18 8 44.1
18 10 174.14
18 12 46.13
18 14 403.03
18 15 188.21
18 16 700.2
18 20 390.39
18 22 11.05
18 26 440.56
18 28 3.16
18 30 60.65
18 34 29.27
18 36 46.1
18 37 10.46
18 39 401.9
18 41 234.07
18 43 80.04
18 45 64.18
18 49 472.78
18 1 75.96
18 3 24.82
18 5 156.06
18 7 19.82
18 9 54.53
18 11 21.05
18 13 433.86
18 17 307.52
18 19 28.93
18 21 1
18 25 209.22
18 29 58.98
18 31 1.41
18 33 34.96
18 35 3.46
18 38 200.04
18 40 173.65
18 42 43.43
18 44 33.13
18 46 5.29
18 48 457.02
20 2 35.88
20 4 31.38
20 6 79.9
20 8 20.31
20 10 79.95
20 12 1298.11
20 14 210.75
20 16 42.16
20 18 49.61
20 22 10.19
20 26 79.5
20 28 42.55
20 32 4.83
20 34 19.9
20 36 35.05
20 39 629.47
20 41 57.3
20 43 226.62
20 45 428.6
20 47 18.84
20 49 169.97
20 1 9.78
20 3 2.73
20 5 15.66
20 9 10.09
20 11 133.15
20 13 20.4
20 17 28.43
20 19 84.29
20 25 70.42
20 29 1.73
20 31 4.9
20 33 1.41
20 35 1.73
20 38 155.78
20 40 27.85
20 42 21.23
20 44 56.89
20 46 12.96
20 48 17.13
22 4 1.73
22 6 77.27
22 8 65.69
22 10 224.85
22 12 291.41
22 14 817.11
22 16 7.81
22 18 41.25
22 20 28.78
22 24 374.18
22 26 5.65
22 28 781.32
22 30 1
22 32 244.19
22 34 704.05
22 36 24.32
22 39 38.55
22 41 11.57
22 43 274.39
22 45 2044.68
22 47 18.6
22 49 438.85
22 5 28.77
22 7 7.73
22 9 48.27
22 13 64.9
22 17 14.29
22 21 134.49
22 23 44.33
22 27 21.96
22 31 35.36
22 44 103.42
22 46 20.45
22 48 82.79
24 6 2
24 8 19.06
24 10 564.65
24 14 81.25
24 18 2.83
24 22 1389.6
24 28 609.54
24 41 4.45
24 45 50.93
24 49 54.02
24 7 6.32
24 9 27.02
24 13 6.56
24 23 71.7
24 27 6.32
24 44 9.27
